Start auto log messages stack - Iteration 1.	[MsgId: MMSG-10545]
Action.c(541): web_custom_request("tabRecordCount.do_3") was successful, 77 body bytes, 567 header bytes  	[MsgId: MMSG-26386]
Action.c(552): web_custom_request("tabRecordCount.do_4") started  	[MsgId: MMSG-26355]
Action.c(552): web_custom_request("tabRecordCount.do_4") was successful, 1938 body bytes, 569 header bytes  	[MsgId: MMSG-26386]
Action.c(563): Notify: Transaction "MILWAUKEE_TC1_05_Click_Addtl_Info" ended with a "Pass" status (Duration: 0.3176).	[MsgId: MMSG-16873]
Action.c(567): Notify: Transaction "MILWAUKEE_TC1_06_Save_Addtl_Info" started.	[MsgId: MMSG-16999]
Action.c(569): web_url("session.do_13") started  	[MsgId: MMSG-26355]
Action.c(569): web_url("session.do_13") was successful, 56 body bytes, 535 header bytes  	[MsgId: MMSG-26386]
Action.c(578): web_submit_data("addtInfoForm.do_2") started  	[MsgId: MMSG-26355]
Action.c(578): Error -27492: "HttpSendRequest" failed, Windows error code=12002 and retry limit (0) exceeded for URL="https://av-pt-ferrari.accela.com/portlets/addtinfo/addtInfoForm.do?module=Licenses"  	[MsgId: MERR-27492]
End auto log messages stack.	[MsgId: MMSG-10544]


